"","Math z value","Math Pr(>|z|)","Bio1 z value","Bio1 Pr(>|z|)","Bio2 z value","Bio2 Pr(>|z|)"
"(Intercept)",-4.05607937161351,4.9903307359872e-05,-1.27235271574643,0.203247826295021,0.222757050819148,0.82372459658338
"GenderFemale",2.99871822925319,0.00271117915919646,0.635601894627319,0.525035934290432,2.26453718345151,0.023541095478258
"EthnicityBlack",-0.704476085599862,0.481136337799105,0.410752207024277,0.681254241189793,-2.19926942842784,0.0278587701576975
"EthnicityHispanic",-0.452375534123355,0.650998469186472,0.0764036636764552,0.939097954935683,-0.543275773541546,0.586939941990524
"EthnicityOther",-2.3497223639078,0.0187874186146343,-1.00732281397664,0.313779669882666,-1.8527791070223,0.0639140260343961
"Military",-1.58538097427581,0.112879801248757,-1.31421853083998,0.188772674175581,-0.483021620893941,0.629080384630788
"DegreeLevel",0.739221655394715,0.459772413144169,0.318527234150028,0.750085039703246,1.23410817977876,0.217162595904456
"GPA",1.80139498452839,0.0716406461111827,0.959169537656485,0.337473343837306,-0.555478459272267,0.578567439887212
"OverallGPA",1.79335458249394,0.0729162448733108,0.265132889496335,0.790907091531949,0.760134677594743,0.447174086161744
"TransferCredits",0.276436510948912,0.782212817133646,0.49933804041976,0.617541260594118,-1.09874299407283,0.271880183520915
"CreditRatio",-2.11093603939006,0.0347778098550507,-0.918958402930815,0.358117330102601,0.615789699970675,0.538033326260983
"EarnedCredits",0.268711345698995,0.788151820206528,-1.00142769310991,0.316620081201126,-0.796162896545783,0.425937360295584
"Income",-0.147970673224728,0.88236591280187,-0.77188109135431,0.440184857410406,-0.0139015676088276,0.988908511080104
"Age",1.44355977106284,0.148862847911086,0.0859731814756226,0.931487736354403,1.1533460027612,0.248768395242253
"DaysEnrolled",-0.00768288100134907,0.993870008172088,-0.892727669939934,0.372003028766395,-1.7556105718792,0.0791549258484895
"FirstGenerationTRUE",-0.0536902724094983,0.957181933116999,-0.535477008751092,0.592320051698157,-1.28935944200582,0.197273154612527
"Employment",1.7203588572507,0.0853672308084691,1.41751208304892,0.15633326416902,-1.87313812815751,0.0610493134610042
"ESL",-0.134346772817038,0.893128369091956,0.729904595074505,0.465448503353072,0.827888535419517,0.407733628226676
"PellTRUE",-0.458970738018335,0.646255179554699,0.0499486956118026,0.960163272218162,0.167954638292404,0.866618965446631
"RepeatTRUE",-1.587502181401,0.112398953304429,-0.673457276735174,0.500656420175588,-1.2914226310849,0.196557167324194
